"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","TMAX","TMIN","TOBS"
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-27",,,"0.80","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-28",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-29",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-30",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-01",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-02",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-03",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-04",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-05",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-06",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-07",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-08",,,"0.06","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-09",,,"0.22","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-10",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-11",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-12",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-13",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-14",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-15",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-16",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-17",,,"0.03","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-18",,,"0.01","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-19",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-20",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-21",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-22",,,"0.26","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-23",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-24",,,"0.04",,,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-25",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-26",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-27",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-28",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-12-29",,,"0.12","0.0",,,
